Dist,Type,SubType,Xeq,Yeq,Xgal,Ygal,title,source,date,link,headline,img
"MW","Nebula","SNR",-350.865596,58.8135226,-111.741870,-2.133657,"Elemental Image Of Exploded Star","Cassiopeia A",2000-06-27,"http://chandra.harvard.edu/photo/2000/cas_a062700/","Elements mapped in Cas A SNR.","http://chandra.harvard.edu/photo/2000/cas_a062700/casa_comp_420.jpg"
"MW","Star","NS",-308.107033,40.9579535,-79.845474,0.700409,"Chandra Shows New Way to Measure Cosmic Distances","Cygnus X-3",2000-04-25,"http://chandra.harvard.edu/photo/2000/cygx399/","Scattering halo of Cygnus X-3 provides new way to measure distance.","http://chandra.harvard.edu/photo/2000/cygx399/cygx399_xray_420.jpg"
"LU","Galaxy","Starburst",-148.963706,69.6766381,-141.414006,40.567406,"Chandra Clinches Case for Missing Link Black Hole","M82 Black Hole",2000-09-12,"http://chandra.harvard.edu/photo/2000/m82bh/","Mid-mass black hole found 600 light years from galaxy center.","http://chandra.harvard.edu/photo/2000/m82bh/m82bh_250.jpg"
"EU","Galaxy","AGN",-182.635833,39.4058333333,-155.076863,75.063124,"Chandra Observes Cloud Powered by Black Hole in Distant Galaxy","NGC 4151",2000-06-05,"http://chandra.harvard.edu/photo/2000/ngc4151/","X-ray image of large gas cloud near a black hole.","http://chandra.harvard.edu/photo/2000/ngc4151/4151_xray_420.jpg"
"LU","Galaxy","AGN",-49.950074,41.5114665,-150.575561,-13.261655," Chandra Catches Cannibal Galaxy in the Act","Perseus A",2000-06-01,"http://chandra.harvard.edu/photo/2000/perseus/","Features revealed in the core of the galaxy cluster.","http://chandra.harvard.edu/photo/2000/perseus/perseus_xray_250.jpg"
"LU","Galaxy","AGN",-79.909572,-45.7710273,-251.583854,-34.666698,"Spectacular X-ray Jet Points Toward Cosmic Energy Booster","Pictor A",2000-06-06,"http://chandra.harvard.edu/photo/2000/pictor/","X-ray jet extends from active galaxy toward hot spot.","http://chandra.harvard.edu/photo/2000/pictor/pictor_xray_420.jpg"
"MW","Nebula","PN",-293.687817,30.5162847,-64.785057,5.019863,"Chandra Discovers Elusive 'Hot Bubble' in Planetary Nebula","BD+30-3639",2000-06-06,"http://chandra.harvard.edu/photo/2000/pne/","Hot bubble imaged in planetary nebula.","http://chandra.harvard.edu/photo/2000/pne/pne_xray_420.jpg"
"LU","Star","SN",-83.867917,-69.270278,-279.703986,-31.936586,"Impact! Chandra Images a Young Supernova Blast Wave","Supernova 1987A",2000-01-17,"http://chandra.harvard.edu/photo/2000/sn1987a/","X-ray image of a young supernova shock wave.","http://chandra.harvard.edu/photo/2000/sn1987a/sn1987a_xray_420.jpg"
"LU","Galaxy","Spiral",-328.402083,17.6958333333,-73.959790,-27.813034,"Gravitational Lens Helps Chandra Find Rare Type of Black Hole","Type 2 Quasar",2000-03-20,"http://chandra.harvard.edu/photo/2000/type2/","(Left) An image of a strong X-ray source. (Right) The optical image of the spiral galaxy where the X-ray source is located.","http://chandra.harvard.edu/photo/2000/type2/type2_xray_420.jpg"
"MW","Star","NS",-128.835423,-45.1803109,-263.554805,-2.789939,"Chandra Reveals a Compact Nebula Created by a Shooting Neutron Star","Vela Pulsar",2000-06-06,"http://chandra.harvard.edu/photo/2000/vela/","X-ray image of rings and jets in the compact nebula.","http://chandra.harvard.edu/photo/2000/vela/vela_xray_420.jpg"
"MW","Star","NS",-6.023451,-72.0823736,-305.894650,-44.888244,"Chandra Reveals Nest of Tight Binaries in Dense Cluster 47 Tuc X","47 Tucanae",2001-05-17,"http://chandra.harvard.edu/photo/2001/0004/","A globular cluster located about 15,000 light years from Earth in the constellation of Tucana.","http://chandra.harvard.edu/photo/2001/0004/0004_xray_zoom_comp_420.jpg"
"LU","Galaxy","Spiral",-10.682092,41.2637293,-121.172012,-21.578257,"Closer Look Reveals Andromeda's Black Hole Not As 'Cool' As Beli","M31",2001-10-12,"http://chandra.harvard.edu/photo/2001/0007rev/","Chandra and Hubble Space Telescope images of two recently detected emitting globular star clusters.","http://chandra.harvard.edu/photo/2001/0007rev/0007rev_420.jpg"
"LU","Galaxy","Spiral",-11.888028,-25.2885992,-97.365473,-87.964355,"Chandra Sees Wealth Of Black Holes In Star-Forming Galaxies","NGC 253",2001-06-05,"http://chandra.harvard.edu/photo/2001/0012/","The Chandra image of NGC 253 shows a plume of 5 million degree gas in the central region of the galaxy extending above and below the disk of the galaxy, along with point-like X-ray sources.","http://chandra.harvard.edu/photo/2001/0012/0012_xray_opt_420.jpg"
"MW","Star","NS",-31.407912,64.8281129,-130.719339,3.084101,"Young Pulsar Reveals Clues to Supernova","3C58",2001-09-06,"http://chandra.harvard.edu/photo/2001/0022/","The remnant of a supernova in the constellation Cassiopeia.","http://chandra.harvard.edu/photo/2001/0022/0022_xray_420.jpg"
"LU","Galaxy","Starburst",-148.963210,69.6777428,-141.412957,40.566622,"Starburst Galaxy With Ultraluminous X-Ray Sources","M82",2001-06-05,"http://chandra.harvard.edu/photo/2001/0094true/","This Chandra image is colorized to highlight a population of point-like 'ultraluminous' X-ray sources in M82, a starburst galaxy 11 million light years from Earth.","http://chandra.harvard.edu/photo/2001/0094true/0094true_xray_420.jpg"
"MW","Nebula","SNR",-171.145795,-59.2599198,-292.026015,1.760285,"Chandra Looks at the Aftermath of a Massive Star Explosion","G292.0+1.8",2001-10-22,"http://chandra.harvard.edu/photo/2001/0112/","A young, oxygen-rich supernova remnant with a pulsar at its center surrounded by outflowing material.","http://chandra.harvard.edu/photo/2001/0112/0112_xray_420.jpg"
"LU","Galaxy","SNR",-180.468986,-18.8815781,-286.961251,42.447996,"Chandra Finds Abundance of Ultraluminous X-ray Sources","Antennae",2001-06-05,"http://chandra.harvard.edu/photo/2001/0120true/","This Chandra X-ray image shows the central regions of two colliding galaxies known collectively as 'The Antennae.'","http://chandra.harvard.edu/photo/2001/0120true/0120true_xray_250.jpg"
"LU","Galaxy","Elliptical",-187.702771,12.3924482,-283.765245,74.491498,"Chandra Sheds Light on the Knotty Problem of the M87 Jet","M87 Jet",2001-09-26,"http://chandra.harvard.edu/photo/2001/0134/","A giant elliptical galaxy 50 million light years away in the constellation Virgo.","http://chandra.harvard.edu/photo/2001/0134/m87comp_420.jpg"
